benchmark,metric,score,occluder_type,visibility
ImageNet-Occluded,accuracy,0.0554391936380036,vertical_bars_16,0.4
ImageNet-Occluded,accuracy,0.127562301499503,vertical_bars_16,0.5
ImageNet-Occluded,accuracy,0.2841071127628793,vertical_bars_16,0.6
ImageNet-Occluded,accuracy,0.4212165633026434,vertical_bars_16,0.7
ImageNet-Occluded,accuracy,0.5446947496764514,vertical_bars_16,0.8
ImageNet-Occluded,accuracy,0.6102771077837262,vertical_bars_16,0.9
ImageNet-Occluded,accuracy,0.0021208365428812,cardinal_crossed_bars,0.1
ImageNet-Occluded,accuracy,0.00311732888982,cardinal_crossed_bars,0.2
ImageNet-Occluded,accuracy,0.0145901521021614,cardinal_crossed_bars,0.3
ImageNet-Occluded,accuracy,0.1236075430500264,cardinal_crossed_bars,0.4
ImageNet-Occluded,accuracy,0.2487301303415882,cardinal_crossed_bars,0.5
ImageNet-Occluded,accuracy,0.3455042024048007,cardinal_crossed_bars,0.6
ImageNet-Occluded,accuracy,0.439453125,cardinal_crossed_bars,0.7
ImageNet-Occluded,accuracy,0.5089631664509676,cardinal_crossed_bars,0.8
ImageNet-Occluded,accuracy,0.5893244463570264,cardinal_crossed_bars,0.9
ImageNet-Occluded,accuracy,0.00155866444491,oblique_crossed_bars,0.1
ImageNet-Occluded,accuracy,0.001782029144922,oblique_crossed_bars,0.2
ImageNet-Occluded,accuracy,0.0058958503816808,oblique_crossed_bars,0.3
ImageNet-Occluded,accuracy,0.0479606126188015,oblique_crossed_bars,0.4
ImageNet-Occluded,accuracy,0.1463392255257587,oblique_crossed_bars,0.5
ImageNet-Occluded,accuracy,0.2737428406063391,oblique_crossed_bars,0.6
ImageNet-Occluded,accuracy,0.4215448413576398,oblique_crossed_bars,0.7
ImageNet-Occluded,accuracy,0.5229828734787143,oblique_crossed_bars,0.8
ImageNet-Occluded,accuracy,0.5806214955388284,oblique_crossed_bars,0.9
ImageNet-Occluded,accuracy,0.0019456043041178,curved_lines,0.1
ImageNet-Occluded,accuracy,0.0038389397633014,curved_lines,0.2
ImageNet-Occluded,accuracy,0.0268725783241038,curved_lines,0.3
ImageNet-Occluded,accuracy,0.0775669642857142,curved_lines,0.4
ImageNet-Occluded,accuracy,0.1904022371282382,curved_lines,0.5
ImageNet-Occluded,accuracy,0.311336548352728,curved_lines,0.6
ImageNet-Occluded,accuracy,0.4136108822968541,curved_lines,0.7
ImageNet-Occluded,accuracy,0.5112535953521729,curved_lines,0.8
ImageNet-Occluded,accuracy,0.5875149661180924,curved_lines,0.9
ImageNet-Occluded,accuracy,0.0015545280612244,empty_ellipses,0.1
ImageNet-Occluded,accuracy,0.0023957180163385,empty_ellipses,0.2
ImageNet-Occluded,accuracy,0.0116123321409128,empty_ellipses,0.3
ImageNet-Occluded,accuracy,0.0526414943896994,empty_ellipses,0.4
ImageNet-Occluded,accuracy,0.1018174517215514,empty_ellipses,0.5
ImageNet-Occluded,accuracy,0.1781021371787908,empty_ellipses,0.6
ImageNet-Occluded,accuracy,0.2754865142763877,empty_ellipses,0.7
ImageNet-Occluded,accuracy,0.4038035176238235,empty_ellipses,0.8
ImageNet-Occluded,accuracy,0.5406738093921116,empty_ellipses,0.9
ImageNet-Occluded,accuracy,0.0021723533163265,filled_ellipses,0.1
ImageNet-Occluded,accuracy,0.0067528338000482,filled_ellipses,0.2
ImageNet-Occluded,accuracy,0.0261220127838302,filled_ellipses,0.3
ImageNet-Occluded,accuracy,0.0444721373520335,filled_ellipses,0.4
ImageNet-Occluded,accuracy,0.0893376071234138,filled_ellipses,0.5
ImageNet-Occluded,accuracy,0.1634890467536692,filled_ellipses,0.6
ImageNet-Occluded,accuracy,0.2399805516612773,filled_ellipses,0.7
ImageNet-Occluded,accuracy,0.3743013271263667,filled_ellipses,0.8
ImageNet-Occluded,accuracy,0.5268733306806914,filled_ellipses,0.9
ImageNet-Occluded,accuracy,0.0020610470020649,mud_splash,0.1
ImageNet-Occluded,accuracy,0.0054938691307087,mud_splash,0.2
ImageNet-Occluded,accuracy,0.0097904433021131,mud_splash,0.3
ImageNet-Occluded,accuracy,0.0252300581457663,mud_splash,0.4
ImageNet-Occluded,accuracy,0.0537086813425531,mud_splash,0.5
ImageNet-Occluded,accuracy,0.1231807433829015,mud_splash,0.6
ImageNet-Occluded,accuracy,0.2412981777166833,mud_splash,0.7
ImageNet-Occluded,accuracy,0.3635279286880882,mud_splash,0.8
ImageNet-Occluded,accuracy,0.4809275123537803,mud_splash,0.9
ImageNet-Occluded,accuracy,0.0133387081287041,natural,0.1
ImageNet-Occluded,accuracy,0.0438866510379071,natural,0.2
ImageNet-Occluded,accuracy,0.1176955231598445,natural,0.3
ImageNet-Occluded,accuracy,0.2067495998071164,natural,0.4
ImageNet-Occluded,accuracy,0.3362695386215132,natural,0.5
ImageNet-Occluded,accuracy,0.450093783286153,natural,0.6
ImageNet-Occluded,accuracy,0.5213309526443481,natural,0.7
ImageNet-Occluded,accuracy,0.6077964062593422,natural,0.8
ImageNet-Occluded,accuracy,0.6183915636977371,natural,0.9
ImageNet-Occluded,accuracy,0.0033531027408886,natural_silhouette,0.1
ImageNet-Occluded,accuracy,0.0122350458511892,natural_silhouette,0.2
ImageNet-Occluded,accuracy,0.0439622340609832,natural_silhouette,0.3
ImageNet-Occluded,accuracy,0.0846093449057364,natural_silhouette,0.4
ImageNet-Occluded,accuracy,0.1329328311341149,natural_silhouette,0.5
ImageNet-Occluded,accuracy,0.2443357870286824,natural_silhouette,0.6
ImageNet-Occluded,accuracy,0.3831689813915564,natural_silhouette,0.7
ImageNet-Occluded,accuracy,0.4976870101325366,natural_silhouette,0.8
ImageNet-Occluded,accuracy,0.5642263767670612,natural_silhouette,0.9
ImageNet-Occluded,accuracy,0.0023757881693998,coarse_noise,0.1
ImageNet-Occluded,accuracy,0.0033805532837096,coarse_noise,0.2
ImageNet-Occluded,accuracy,0.0078971078429295,coarse_noise,0.3
ImageNet-Occluded,accuracy,0.0180744910042504,coarse_noise,0.4
ImageNet-Occluded,accuracy,0.0517089280242822,coarse_noise,0.5
ImageNet-Occluded,accuracy,0.1110558757672504,coarse_noise,0.6
ImageNet-Occluded,accuracy,0.2121851836540261,coarse_noise,0.7
ImageNet-Occluded,accuracy,0.3422135218065612,coarse_noise,0.8
ImageNet-Occluded,accuracy,0.5267097548562654,coarse_noise,0.9
ImageNet-Occluded,accuracy,0.0012638531245139,fine_oriented_noise,0.1
ImageNet-Occluded,accuracy,0.0023400648592077,fine_oriented_noise,0.2
ImageNet-Occluded,accuracy,0.0157475873675881,fine_oriented_noise,0.3
ImageNet-Occluded,accuracy,0.0791211163206976,fine_oriented_noise,0.4
ImageNet-Occluded,accuracy,0.1698744947812995,fine_oriented_noise,0.5
ImageNet-Occluded,accuracy,0.2583084900160225,fine_oriented_noise,0.6
ImageNet-Occluded,accuracy,0.3792300163483133,fine_oriented_noise,0.7
ImageNet-Occluded,accuracy,0.4755148668678439,fine_oriented_noise,0.8
ImageNet-Occluded,accuracy,0.5556960251866555,fine_oriented_noise,0.9
ImageNet-Occluded,accuracy,0.0011044143490037,fine_noise,0.1
ImageNet-Occluded,accuracy,0.0014548788265306,fine_noise,0.2
ImageNet-Occluded,accuracy,0.0022163493938896,fine_noise,0.3
ImageNet-Occluded,accuracy,0.0045639349489795,fine_noise,0.4
ImageNet-Occluded,accuracy,0.0145833834777681,fine_noise,0.5
ImageNet-Occluded,accuracy,0.0435094881270613,fine_noise,0.6
ImageNet-Occluded,accuracy,0.1117278500174989,fine_noise,0.7
ImageNet-Occluded,accuracy,0.2331419818255366,fine_noise,0.8
ImageNet-Occluded,accuracy,0.3918482411880882,fine_noise,0.9
ImageNet-Occluded,accuracy,0.0019738069184276,pink_noise,0.1
ImageNet-Occluded,accuracy,0.0052821615102643,pink_noise,0.2
ImageNet-Occluded,accuracy,0.0190792561185603,pink_noise,0.3
ImageNet-Occluded,accuracy,0.0400168764956143,pink_noise,0.4
ImageNet-Occluded,accuracy,0.0858201770758142,pink_noise,0.5
ImageNet-Occluded,accuracy,0.1771879965553478,pink_noise,0.6
